主键ID,供应商名称,街道名称,床位数,执业年月,地址,联系电话,邮编,运营模式,证照情况,占地面积,建筑面积,绿化面积,房屋权属证明,有产证,无产证,月份,创建时间,更新时间,jd,wd
154,上海奉贤区兰公馆养老院,青村镇,30.0,0.0,0.0,33616880,201414.0,3,1.0,30.0,30.0,30.0,1.0,1.0,0.0,201908,0.0,0.0,121.537473,30.921850
155,上海奉贤区长远养老院,庄行镇,30.0,0.0,0.0,57403219,201402.0,3,0.0,30.0,30.0,30.0,1.0,3.0,0.0,201908,0.0,0.0,121.404716,30.958883
156,上海市奉贤区金苹果养老院,青村镇,160.0,0.0,0.0,31115700,201414.0,3,0.0,160.0,160.0,182.0,1.0,3.0,0.0,201908,0.0,0.0,121.553379,30.927644
157,上海奉贤区逸仙颐养院,金汇镇,718.0,0.0,0.0,18121007959,201404.0,2,2.0,718.0,718.0,30.0,2.0,0.0,2.0,201908,0.0,0.0,121.474042,30.917795
158,上海新华老年公寓,庄行镇,30.0,0.0,0.0,574679999*8803,201415.0,3,1.0,30.0,30.0,30.0,1.0,3.0,0.0,201908,0.0,0.0,121.368567,30.895113
159,上海奉贤区高桥长者照护之家,奉城镇,49.0,0.0,0.0,37580501,201411.0,3,2.0,49.0,130.0,30.0,2.0,0.0,3.0,201908,0.0,0.0,121.631426,30.913843
160,上海奉贤区瑷佲长者照护之家,奉城镇,30.0,0.0,0.0,57529468,201411.0,3,2.0,30.0,118.0,30.0,2.0,0.0,2.0,201908,0.0,0.0,121.471933,31.309435
161,上海奉贤区海湾镇敬老院,海湾镇,182.0,0.0,0.0,37598059-8001,201422.0,1,0.0,182.0,182.0,718.0,1.0,3.0,0.0,201908,0.0,0.0,121.726364,30.866756
162,上海奉贤区柘林镇福利院,柘林镇,30.0,0.0,0.0,57459155,201417.0,1,2.0,30.0,118.0,30.0,1.0,2.0,0.0,201908,0.0,0.0,121.422818,30.856062
164,上海奉贤区乐慧养老院,庄行镇,30.0,0.0,0.0,57404312,201402.0,3,0.0,30.0,118.0,30.0,1.0,1.0,0.0,201907,0.0,0.0,121.397775,30.962276
165,上海奉贤区鸿恩托老所,奉城镇,30.0,0.0,0.0,57133069,201411.0,3,0.0,30.0,118.0,30.0,2.0,0.0,3.0,201907,0.0,0.0,121.685516,30.932531
166,上海奉贤区维丰颐养院,奉城镇,30.0,0.0,0.0,0,201409.0,3,0.0,30.0,118.0,30.0,2.0,0.0,1.0,201907,0.0,0.0,121.648070,30.941920
167,上海奉贤区益人养老院,南桥镇,30.0,0.0,0.0,021-57470388,201400.0,3,0.0,30.0,130.0,30.0,2.0,0.0,3.0,201907,0.0,0.0,121.511376,30.903078
168,上海奉贤区南桥镇关港养老院,南桥镇,30.0,0.0,0.0,57489186,201404.0,3,0.0,30.0,130.0,118.0,1.0,3.0,0.0,201907,0.0,0.0,121.470775,30.992545
169,上海奉贤区金汇养老院,金汇镇,130.0,0.0,0.0,13817269966,201404.0,3,0.0,130.0,718.0,160.0,1.0,1.0,0.0,201907,0.0,0.0,121.499795,30.983162
170,上海市奉贤区福利院,南桥镇,30.0,0.0,0.0,57191151,201499.0,1,0.0,30.0,130.0,118.0,1.0,1.0,0.0,201907,0.0,0.0,121.467917,30.905349
171,上海市奉贤区南桥镇江海敬老院,南桥镇,30.0,0.0,0.0,57188525,201400.0,1,0.0,30.0,130.0,118.0,2.0,0.0,3.0,201907,0.0,0.0,121.453349,30.899957
172,上海奉贤区奉浦敬老院,奉浦街道,30.0,0.0,0.0,57433046,201401.0,1,1.0,30.0,130.0,118.0,1.0,2.0,0.0,201907,0.0,0.0,121.446530,30.963549
173,上海奉贤区庄行镇邬桥敬老院,庄行镇,118.0,0.0,0.0,57403090,201402.0,1,1.0,118.0,255.0,130.0,2.0,0.0,2.0,201907,0.0,0.0,121.392475,30.959798
174,上海奉贤区青村镇敬老院,青村镇,30.0,0.0,0.0,0,201414.0,1,2.0,30.0,160.0,118.0,2.0,0.0,2.0,201907,0.0,0.0,121.584252,30.927387
175,上海奉贤区四团镇敬老院,四团镇,30.0,0.0,0.0,57533540,201412.0,1,0.0,30.0,160.0,130.0,2.0,0.0,2.0,201907,0.0,0.0,121.720940,30.945321
176,上海奉贤区奉城镇头桥敬老院,奉城镇,30.0,0.0,0.0,0,201409.0,1,2.0,30.0,160.0,130.0,2.0,0.0,2.0,201907,0.0,0.0,121.644812,30.941702
177,上海奉贤区金汇镇敬老院,金汇镇,30.0,0.0,0.0,57575176,201403.0,1,0.0,30.0,160.0,130.0,1.0,1.0,0.0,201907,0.0,0.0,121.499795,30.983162
178,上海奉贤区金汇镇泰日敬老院,金汇镇,30.0,0.0,0.0,0,201405.0,1,0.0,30.0,160.0,130.0,1.0,1.0,0.0,201907,0.0,0.0,121.566162,30.978289
179,上海市奉贤区永生养老院,西渡街道,30.0,0.0,0.0,13917933871,201401.0,3,1.0,30.0,182.0,130.0,2.0,0.0,2.0,201907,0.0,0.0,121.441433,30.971844
180,上海奉贤区南桥镇光明村养老院,南桥镇,30.0,0.0,0.0,57473052,201406.0,3,0.0,30.0,182.0,160.0,1.0,1.0,0.0,201907,0.0,0.0,121.505884,30.911411
181,上海奉贤区伊甸敬老院,庄行镇,30.0,0.0,0.0,57465563—8002,201415.0,3,1.0,30.0,182.0,160.0,2.0,0.0,3.0,201907,0.0,0.0,121.392309,30.908120
182,上海奉贤区泰日光星养老院,金汇镇,30.0,0.0,0.0,18916132555,201405.0,3,0.0,30.0,182.0,160.0,2.0,0.0,2.0,201907,0.0,0.0,121.593254,30.985029
183,上海奉贤区钱桥恩霖托老所,青村镇,50.0,0.0,0.0,57597691,201407.0,3,1.0,50.0,182.0,118.0,2.0,0.0,3.0,201907,0.0,0.0,121.536534,30.885676
184,上海奉贤区明馨艺术养老院,南桥镇,30.0,0.0,0.0,021-61909190,201406.0,3,0.0,30.0,182.0,160.0,1.0,1.0,0.0,201907,0.0,0.0,121.502141,30.892755
185,上海奉贤区兰公馆养老院,青村镇,30.0,0.0,0.0,33616880,201414.0,3,1.0,30.0,255.0,160.0,1.0,1.0,0.0,201907,0.0,0.0,121.537473,30.921850
186,上海奉贤区长远养老院,庄行镇,30.0,0.0,0.0,57403219,201402.0,3,0.0,30.0,718.0,182.0,1.0,3.0,0.0,201907,0.0,0.0,121.404716,30.958883
187,上海市奉贤区金苹果养老院,青村镇,160.0,0.0,0.0,31115700,201414.0,3,0.0,160.0,160.0,182.0,1.0,3.0,0.0,201907,0.0,0.0,121.553379,30.927644
188,上海奉贤区逸仙颐养院,金汇镇,718.0,0.0,0.0,18121007959,201404.0,2,2.0,718.0,718.0,30.0,2.0,0.0,2.0,201907,0.0,0.0,121.474042,30.917795
189,上海新华老年公寓,庄行镇,30.0,0.0,0.0,574679999*8803,201415.0,3,1.0,30.0,718.0,182.0,1.0,3.0,0.0,201907,0.0,0.0,121.368567,30.895113
190,上海奉贤区高桥长者照护之家,奉城镇,49.0,0.0,0.0,37580501,201411.0,3,2.0,49.0,160.0,30.0,2.0,0.0,3.0,201907,0.0,0.0,121.631426,30.913843
191,上海奉贤区瑷佲长者照护之家,奉城镇,30.0,0.0,0.0,57529468,201411.0,3,2.0,30.0,718.0,182.0,2.0,0.0,2.0,201907,0.0,0.0,121.471933,31.309435
192,上海奉贤区海湾镇敬老院,海湾镇,182.0,0.0,0.0,37598059-8001,201422.0,1,0.0,182.0,182.0,718.0,1.0,3.0,0.0,201907,0.0,0.0,121.726364,30.866756
193,上海奉贤区柘林镇福利院,柘林镇,30.0,0.0,0.0,57459155,201417.0,1,2.0,30.0,718.0,182.0,1.0,2.0,0.0,201907,0.0,0.0,121.422818,30.856062
13,上海市奉贤区南桥镇江海敬老院,南桥镇,30.0,0.0,0.0,13774329472,0.0,1,1.0,30.0,30.0,182.0,0.0,0.0,0.0,201905,0.0,0.0,121.453349,30.899957
14,上海奉贤区维丰颐养院,奉城镇,30.0,0.0,0.0,18901948800,0.0,3,1.0,30.0,30.0,255.0,0.0,0.0,0.0,201905,0.0,0.0,121.648070,30.941920
15,上海奉贤区高桥长者照护之家,奉城镇,49.0,0.0,0.0,13127526091,0.0,3,1.0,49.0,160.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.631426,30.913843
16,上海奉贤区瑷佲长者照护之家,奉城镇,30.0,0.0,0.0,13918669411,0.0,3,1.0,30.0,30.0,718.0,0.0,0.0,0.0,201905,0.0,0.0,121.471933,31.309435
17,上海奉贤区泰日光星养老院,金汇镇,30.0,0.0,0.0,13501762820,0.0,3,1.0,30.0,30.0,718.0,0.0,0.0,0.0,201905,0.0,0.0,121.593254,30.985029
18,上海奉贤区青村镇敬老院,青村镇,30.0,0.0,0.0,18930191700,0.0,1,1.0,30.0,30.0,718.0,0.0,0.0,0.0,201905,0.0,0.0,121.584252,30.927387
19,上海奉贤区益人养老院,南桥镇,30.0,0.0,0.0,18916090222,0.0,3,1.0,30.0,30.0,718.0,0.0,0.0,0.0,201905,0.0,0.0,121.511376,30.903078
20,上海奉贤区金汇养老院,金汇镇,130.0,0.0,0.0,13761976969,0.0,3,1.0,130.0,130.0,160.0,0.0,0.0,0.0,201905,0.0,0.0,121.499795,30.983162
21,上海奉贤区明馨艺术养老院,南桥镇,30.0,0.0,0.0,18918260508,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.502141,30.892755
23,上海新华老年公寓,庄行镇,30.0,0.0,0.0,13681896551,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.368567,30.895113
24,上海市奉贤区永生养老院,西渡街道,30.0,0.0,0.0,18930911798,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.441433,30.971844
25,上海奉贤区鸿恩托老所,奉城镇,30.0,0.0,0.0,18918032468,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.685516,30.932531
26,上海市奉贤区金苹果养老院,青村镇,160.0,0.0,0.0,13917025759,0.0,3,1.0,160.0,160.0,182.0,0.0,0.0,0.0,201905,0.0,0.0,121.553379,30.927644
27,上海奉贤区乐慧养老院,庄行镇,30.0,0.0,0.0,13817318985,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.397775,30.962276
28,上海奉贤区金汇镇敬老院,金汇镇,30.0,0.0,0.0,18917045258,0.0,1,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.499795,30.983162
29,上海奉贤区钱桥恩霖托老所,青村镇,50.0,0.0,0.0,13482201938,0.0,3,1.0,50.0,182.0,118.0,0.0,0.0,0.0,201905,0.0,0.0,121.536534,30.885676
30,上海奉贤区海湾镇敬老院,海湾镇,182.0,0.0,0.0,18918762922,0.0,1,1.0,182.0,182.0,718.0,0.0,0.0,0.0,201905,0.0,0.0,121.726364,30.866756
31,上海奉贤区兰公馆养老院,青村镇,30.0,0.0,0.0,18918781021,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.537473,30.921850
32,上海奉贤区南桥镇光明村养老院,南桥镇,30.0,0.0,0.0,13761300948,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.505884,30.911411
33,上海奉贤区四团镇敬老院,四团镇,30.0,0.0,0.0,0,0.0,1,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.720940,30.945321
34,上海奉贤区南桥镇关港养老院,南桥镇,30.0,0.0,0.0,15921430150,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.470775,30.992545
35,上海市奉贤区福利院,南桥镇,255.0,0.0,0.0,13482312642,0.0,1,2.0,255.0,255.0,718.0,0.0,0.0,0.0,201905,0.0,0.0,121.467917,30.905349
36,上海奉贤区逸仙颐养院,金汇镇,30.0,0.0,0.0,0,0.0,2,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.474042,30.917795
37,上海奉贤区伊甸敬老院,庄行镇,30.0,0.0,0.0,13816025989,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.392309,30.908120
38,上海奉贤区庄行镇邬桥敬老院,庄行镇,118.0,0.0,0.0,13501914071,0.0,1,1.0,118.0,718.0,130.0,0.0,0.0,0.0,201905,0.0,0.0,121.392475,30.959798
39,上海奉贤区长远养老院,庄行镇,30.0,0.0,0.0,18916116328,0.0,3,1.0,30.0,30.0,30.0,0.0,0.0,0.0,201905,0.0,0.0,121.404716,30.958883
40,上海奉贤区金汇镇泰日敬老院,金汇镇,30.0,0.0,0.0,18917045258,0.0,1,1.0,30.0,30.0,182.0,0.0,0.0,0.0,201905,0.0,0.0,121.566162,30.978289
41,上海奉贤区奉浦敬老院,奉浦街道,30.0,0.0,0.0,13818016870,0.0,1,1.0,30.0,30.0,255.0,0.0,0.0,0.0,201905,0.0,0.0,121.446530,30.963549
73,上海奉贤区乐慧养老院,庄行镇,30.0,0.0,0.0,57404312,201402.0,3,0.0,30.0,118.0,718.0,1.0,1.0,0.0,201906,0.0,0.0,121.397775,30.962276
74,上海奉贤区鸿恩托老所,奉城镇,30.0,0.0,0.0,57133069,201411.0,3,0.0,30.0,118.0,718.0,2.0,0.0,3.0,201906,0.0,0.0,121.685516,30.932531
75,上海奉贤区维丰颐养院,奉城镇,30.0,0.0,0.0,0,201409.0,3,0.0,30.0,118.0,718.0,2.0,0.0,1.0,201906,0.0,0.0,121.648070,30.941920
76,上海奉贤区益人养老院,南桥镇,30.0,0.0,0.0,021-57470388,201400.0,3,0.0,30.0,118.0,718.0,2.0,0.0,3.0,201906,0.0,0.0,121.511376,30.903078
77,上海奉贤区南桥镇关港养老院,南桥镇,30.0,0.0,0.0,57489186,201404.0,3,0.0,30.0,118.0,30.0,1.0,3.0,0.0,201906,0.0,0.0,121.470775,30.992545
78,上海奉贤区金汇养老院,金汇镇,130.0,0.0,0.0,13817269966,201404.0,3,0.0,130.0,130.0,160.0,1.0,1.0,0.0,201906,0.0,0.0,121.499795,30.983162
79,上海市奉贤区福利院,南桥镇,30.0,0.0,0.0,57191151,201499.0,1,0.0,30.0,130.0,30.0,1.0,1.0,0.0,201906,0.0,0.0,121.467917,30.905349
80,上海市奉贤区南桥镇江海敬老院,南桥镇,30.0,0.0,0.0,57188525,201400.0,1,0.0,30.0,130.0,30.0,2.0,0.0,3.0,201906,0.0,0.0,121.453349,30.899957